"pnr","preis"
"383182049X","0.00"
"3831822867","0.00"
"3930737272","0.00"
"3423708506","0.00"
"3423708034","0.00"
"3800028913","0.00"
"3453180895","0.00"
"3800051753","0.00"
"3866040687","0.00"
"3895849995","0.00"
"3423709650","0.00"
"3440080226","0.00"
"344007983X","0.00"
"3440080218","0.00"
"352217237X","0.00"
"3935036728","0.00"
"3423079819","0.00"
"3785546238","0.00"
"378554393X","0.00"
"3785546203","0.00"
"3785547951","0.00"
"3833930020","0.00"
"3791530127","0.00"
"3791530143","0.00"
"3522174917","0.00"
"3522174550","0.00"
"3522176162","0.00"
"3473379972","0.00"
"3473379999","0.00"
"3570213129","0.00"
"3809414263","0.00"
"3809412708","0.00"
"380941834X","0.00"
"3593373912","0.00"
"3593374536","0.00"
"3593376946","0.00"
"340105743X","0.00"
"3765318043","0.00"
"3833959819","0.00"
"3442127807","0.00"
"3440102084","0.00"
"3440102033","0.00"
"3440102041","0.00"
"344010205X","0.00"
"3440102076","0.00"
"3440102092","0.00"
"3423070714","0.00"
"3407798792","0.00"
"357013024X","0.00"
"3570130215","0.00"
"3570130231","0.00"
"341953633X","0.00"
"3551553289","0.00"
"3772522513","0.00"
"355155322X","0.00"
"3442545803","0.00"
"344254579X","0.00"
"3442545870","0.00"
"3442545889","0.00"
"3785541872","0.00"
"3785541864","0.00"
"3785541880","0.00"
"378554393X","0.00"
"3785547951","0.00"
"3491911818","0.00"
"3899402553","0.00"
"3522119800","0.00"
"352210580X","0.00"
"3522105907","0.00"
"3522106202","0.00"
"3522110803","0.00"
"3522115201","0.00"
"3898357023","0.00"
"3898357007","0.00"
"3898357015","0.00"
"3898357031","0.00"
"389835704X","0.00"
"3401086723","0.00"
"3802533968","0.00"
"380253395X","0.00"
"3551552002","0.00"
"3551552533","0.00"
"3551552975","0.00"
"3551566666","0.00"
"3423709227","0.00"
"3423202777","0.00"
"3791522353","0.00"
"3551553440","0.00"
"3551553475","0.00"
"3789131598","0.00"
"389830583X","0.00"
"3791331922","0.00"
"3937825010","0.00"
"3937825045","0.00"
"3937825061","0.00"
"3937825177","0.00"
"3570130215","0.00"
"3570130177","0.00"
"357013024X","0.00"
"3468215134","0.00"
